	labial	coronal	dorsal	bilabial	dental	alveolar	palatal	velar	obstruent	sonorant	stop	continuant	glide	consonantal	oral	affricate	strident	distributed	lateral	rhotic	nasal	voice	voiceless	spread glottis
p	T	F	F	T	F	F	F	F	T	F	T	F	F	F	T	F	F	F	F	F	F	F	T	F
f	T	F	F	F	T	F	F	F	T	F	F	T	F	F	F	F	F	T	F	F	F	F	T	F
m	T	F	F	T	F	F	F	F	F	T	T	F	F	T	F	F	F	F	F	F	T	T	F	F
t	F	T	F	F	F	T	F	F	T	F	T	F	F	F	T	F	F	F	F	F	F	F	T	F
k	F	F	T	F	F	F	F	T	T	F	T	F	F	F	T	F	F	F	F	F	F	F	T	F
N	F	F	T	F	F	F	F	T	F	T	T	F	F	T	F	F	F	F	F	F	T	T	F	F
r	T	T	F	T	F	T	F	F	F	T	F	F	F	T	F	F	F	F	F	T	F	T	F	F
n	F	T	F	F	F	T	F	F	F	T	T	F	F	T	F	F	F	F	F	F	T	T	F	F
w	T	F	F	T	F	F	F	F	F	T	F	F	T	F	F	F	F	F	F	F	F	T	F	F
h	F	F	F	F	F	F	F	F	T	F	F	T	F	F	F	F	F	T	F	F	F	F	T	T
